Day,Mauna Kea,Kitt Peak,Calar Alto,Las Campanas,Sutherland,Siding Spring
269,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
270,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
271,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
272,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
273,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
274,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
275,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
276,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
277,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
278,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
279,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
280,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
281,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
282,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
283,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
284,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
285,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
286,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
287,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
288,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
289,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
290,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
291,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
292,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
293,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
294,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
295,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
296,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
297,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
298,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
299,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
300,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
301,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
302,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
303,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
304,0.8,0.6679577,0.435897435897436,0.85889694041868,0.634594594594595,0.65
305,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
306,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
307,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
308,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
309,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
310,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
311,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
312,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
313,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
314,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
315,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
316,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
317,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
318,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
319,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
320,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
321,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
322,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
323,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
324,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
325,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
326,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
327,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
328,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
329,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
330,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
331,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
332,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
333,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
334,0.7525,0.6642944,0.384615384615385,0.931174957118353,0.634594594594595,0.65
335,0.795,0.6093052,0.31163708086785,0.945012264922322,0.634594594594595,0.65
336,0.795,0.6093052,0.31163708086785,0.945012264922322,0.634594594594595,0.65
337,0.795,0.6093052,0.31163708086785,0.945012264922322,0.634594594594595,0.65
338,0.795,0.6093052,0.31163708086785,0.945012264922322,0.634594594594595,0.65
